index,0,time (ms),Voltage (V),Current (mA)
scanrate (mV/s),160.0,,,
scan low (V),-1.0,,,
scan high (V),1.0,,,
num scan,1.0,,,
,,1818200.0,0.024,2.458
,,1818395.0,0.044,2.468
,,1818652.0,0.07,2.47
,,1819043.0,0.112,2.464
,,1819299.0,0.138,2.472
,,1819495.0,0.158,2.472
,,1819886.0,0.198,2.472
,,1820143.0,0.224,2.476
,,1820340.0,0.244,2.476
,,181820597.0,0.27,2.476
,,1820988.0,0.31,2.472
,,1821184.0,0.33,2.478
,,1821441.0,0.354,2.48
,,1821637.0,0.374,2.48
,,1822285.0,0.442,2.482
,,1822481.0,0.462,2.484
,,1822738.0,0.488,2.486
,,181822935.0,0.508,2.486
,,1823326.0,0.548,2.482
,,1823583.0,0.574,2.488
,,1823779.0,0.594,2.49
,,1824036.0,0.622,2.49
,,18241711824232.0,0.642,2.49
,,1824428.0,0.662,2.492
,,1824623.0,0.682,2.492
,,1824880.0,0.706,2.494
,,1825137.0,0.732,2.496
,,182521825334.0,0.752,2.496
,,1825725.0,0.792,2.498
,,1825982.0,0.818,2.5
,,1826178.0,0.838,2.502
,,11826436.0,0.864,2.504
,,1826827.0,0.904,2.506
,,1827084.0,0.93,2.508
,,1827279.0,0.95,2.508
,,1827536.0,0.976,2.51
,,182761827733.0,0.996,2.51
,,1828124.0,1.036,2.512
,,1828381.0,1.062,2.512
,,1828638.0,1.088,2.514
,,181828835.0,1.108,2.516
,,1829287.0,1.154,2.516
,,1829483.0,1.174,2.516
,,1829740.0,1.2,2.516
,,1829936.0,1.22,2.518
,,1830585.0,1.29,2.52
,,1830842.0,1.314,2.52
,,1831099.0,1.34,2.524
,,183121831294.0,1.36,2.528
,,1831748.0,1.406,2.538
,,1832005.0,1.432,2.548
,,1832201.0,1.452,2.556
,,181832396.0,1.472,2.564
,,1832788.0,1.512,2.596
,,1833046.0,1.538,2.612
,,1833241.0,1.558,2.628
,,1833498.0,1.584,2.648
,,1834147.0,1.65,2.684
,,1834404.0,1.676,2.692
,,1834600.0,1.696,2.694
,,1834791834857.0,1.722,2.696
,,1835248.0,1.762,2.686
,,1835505.0,1.786,2.668
,,1835702.0,1.806,2.654
,,1831835959.0,1.832,2.638
,,1836350.0,1.874,2.626
,,1836607.0,1.9,2.61
,,1836864.0,1.926,2.606
,,1837061.0,1.946,2.604
,,1837710.0,2.012,2.606
,,1837967.0,2.038,2.604
,,1838224.0,2.02,2.558
,,1838420.0,2.0,2.546
,,1838678.0,1.974,2.534
,,1839130.0,1.928,2.53
,,1839387.0,1.902,2.518
,,1839584.0,1.882,2.514
,,1839841.0,1.854,2.51
,,1839971840036.0,1.834,2.508
,,1840428.0,1.794,2.508
,,1840685.0,1.768,2.502
,,1840942.0,1.742,2.5
,,18411841138.0,1.722,2.5
,,1841529.0,1.682,2.5
,,1841786.0,1.656,2.494
,,1842043.0,1.632,2.494
,,181842239.0,1.612,2.494
,,1842693.0,1.566,2.492
,,1842888.0,1.546,2.488
,,1843145.0,1.52,2.486
,,181843402.0,1.492,2.488
,,1843793.0,1.454,2.488
,,1844050.0,1.428,2.484
,,1844307.0,1.402,2.484
,,11844504.0,1.382,2.482
,,1844895.0,1.342,2.484
,,1845091.0,1.322,2.48
,,1845348.0,1.296,2.48
,,1845605.0,1.27,2.48
,,18457401845801.0,1.25,2.478
,,1845997.0,1.228,2.48
,,1846254.0,1.2,2.478
,,1846450.0,1.18,2.478
,,1846707.0,1.154,2.476
,,1846841846902.0,1.136,2.476
,,1847294.0,1.096,2.476
,,1847552.0,1.07,2.474
,,1847809.0,1.042,2.474
,,18471848004.0,1.022,2.472
,,1848396.0,0.984,2.468
,,1848592.0,0.964,2.466
,,1848849.0,0.938,2.464
,,1841849106.0,0.912,2.462
,,1849497.0,0.872,2.456
,,1849754.0,0.846,2.454
,,1850011.0,0.818,2.45
,,1851850268.0,0.794,2.448
,,1850660.0,0.754,2.444
,,1850856.0,0.734,2.444
,,1851113.0,0.708,2.442
,,1851309.0,0.688,2.442
,,1851762.0,0.644,2.44
,,1851958.0,0.622,2.444
,,1852215.0,0.596,2.446
,,1852472.0,0.57,2.446
,,1853059.0,0.51,2.448
,,1853255.0,0.49,2.448
,,1853451.0,0.47,2.448
,,18531853708.0,0.442,2.448
,,1854099.0,0.402,2.446
,,1854356.0,0.376,2.45
,,1854613.0,0.35,2.45
,,18185481854870.0,0.324,2.448
,,1855262.0,0.284,2.444
,,1855519.0,0.258,2.446
,,1855776.0,0.232,2.448
,,18551855972.0,0.212,2.444
,,1856363.0,0.174,2.444
,,1856620.0,0.146,2.442
,,1857011.0,0.106,2.432
,,1857267.0,0.08,2.438
,,1857524.0,0.054,2.434
,,1857915.0,0.012,2.43
