index,0,time (ms),Voltage (V),Current (mA)
scanrate (mV/s),160.0,,,
scan low (V),-1.0,,,
scan high (V),1.0,,,
num scan,1.0,,,
,,1615241.0,0.03,2.454
,,1615632.0,0.07,2.448
,,1615889.0,0.098,2.454
,,1616084.0,0.118,2.456
,,1616475.0,0.158,2.456
,,1616732.0,0.184,2.456
,,1611616927.0,0.204,2.458
,,1617319.0,0.244,2.454
,,1617576.0,0.27,2.462
,,1617772.0,0.29,2.462
,,1618029.0,0.316,2.462
,,1618420.0,0.354,2.46
,,1618677.0,0.38,2.464
,,1618934.0,0.406,2.466
,,1619131.0,0.428,2.466
,,161921619326.0,0.448,2.466
,,1619719.0,0.488,2.466
,,1619976.0,0.514,2.47
,,1620171.0,0.534,2.472
,,161620428.0,0.558,2.472
,,1620819.0,0.602,2.47
,,1621076.0,0.628,2.476
,,1621273.0,0.648,2.478
,,1621530.0,0.672,2.478
,,16216641621726.0,0.694,2.478
,,1622178.0,0.738,2.484
,,1622375.0,0.758,2.484
,,1622632.0,0.784,2.488
,,1621622828.0,0.804,2.49
,,1623219.0,0.844,2.492
,,1623476.0,0.87,2.496
,,1623672.0,0.89,2.498
,,1623929.0,0.916,2.5
,,1624321.0,0.958,2.504
,,1624578.0,0.982,2.506
,,1624835.0,1.008,2.506
,,1625031.0,1.028,2.508
,,16252271625288.0,1.054,2.51
,,1625679.0,1.094,2.51
,,1625936.0,1.12,2.512
,,1626132.0,1.14,2.512
,,1626329.0,1.16,2.512
,,1626720.0,1.2,2.514
,,1626977.0,1.226,2.514
,,1627234.0,1.254,2.514
,,1627430.0,1.276,2.516
,,16276261627687.0,1.302,2.516
,,1628079.0,1.34,2.518
,,1628274.0,1.36,2.52
,,1628532.0,1.386,2.522
,,11628728.0,1.406,2.526
,,1629180.0,1.452,2.538
,,1629376.0,1.472,2.544
,,1629633.0,1.498,2.554
,,1629890.0,1.524,2.568
,,1630282.0,1.564,2.596
,,1630478.0,1.584,2.608
,,1630674.0,1.604,2.622
,,1630931.0,1.63,2.642
,,163111631188.0,1.656,2.66
,,1631580.0,1.694,2.684
,,1631775.0,1.716,2.688
,,1632032.0,1.742,2.692
,,11632289.0,1.768,2.694
,,1632681.0,1.806,2.688
,,1632939.0,1.832,2.668
,,1633196.0,1.86,2.654
,,1633391.0,1.88,2.642
,,1634040.0,1.946,2.614
,,1634297.0,1.972,2.606
,,1634493.0,1.992,2.604
,,1161634751.0,2.018,2.606
,,163481634947.0,2.038,2.606
,,1635535.0,1.986,2.552
,,1635792.0,1.96,2.536
,,1636049.0,1.934,2.53
,,1636245.0,1.914,2.524
,,1636637.0,1.874,2.524
,,1636833.0,1.852,2.514
,,1637090.0,1.826,2.512
,,1637285.0,1.806,2.508
,,163741637542.0,1.78,2.506
,,1637935.0,1.742,2.506
,,1638192.0,1.716,2.5
,,1638387.0,1.694,2.498
,,161638644.0,1.67,2.496
,,1639035.0,1.63,2.498
,,1639292.0,1.604,2.496
,,1639549.0,1.578,2.49
,,11639746.0,1.558,2.492
,,1640137.0,1.518,2.492
,,1640394.0,1.492,2.486
,,1640590.0,1.472,2.486
,,1640847.0,1.446,2.486
,,16409821641043.0,1.426,2.486
,,1641239.0,1.406,2.488
,,1641435.0,1.386,2.484
,,1641692.0,1.36,2.484
,,1641949.0,1.334,2.482
,,1642081642144.0,1.314,2.482
,,1642536.0,1.276,2.482
,,1642793.0,1.248,2.48
,,1642989.0,1.226,2.48
,,164311643246.0,1.2,2.48
,,1643638.0,1.16,2.48
,,1643895.0,1.134,2.48
,,1644152.0,1.108,2.478
,,164164431644409.0,1.082,2.476
,,1644801.0,1.042,2.47
,,1645058.0,1.016,2.466
,,1645192.0,1.002,2.464
,,11645449.0,0.976,2.46
,,1645841.0,0.936,2.452
,,1646098.0,0.91,2.444
,,1646294.0,0.89,2.438
,,1646551.0,0.864,2.432
,,1646943.0,0.824,2.42
,,1647200.0,0.798,2.416
,,1647457.0,0.772,2.412
,,1647652.0,0.752,2.41
,,16477871647848.0,0.732,2.41
,,1648240.0,0.694,2.41
,,1648497.0,0.668,2.414
,,1648693.0,0.648,2.414
,,1648881648950.0,0.622,2.416
,,1649341.0,0.58,2.418
,,1649538.0,0.56,2.42
,,1649795.0,0.534,2.422
,,16491650052.0,0.508,2.422
,,1650381.0,0.474,2.42
,,1650577.0,0.454,2.424
,,1650834.0,0.428,2.426
,,1651091.0,0.4,2.426
,,1651483.0,0.36,2.422
,,1651740.0,0.336,2.426
,,1651936.0,0.316,2.426
,,1652193.0,0.29,2.426
,,1652781.0,0.23,2.426
,,1653038.0,0.204,2.426
,,1653295.0,0.178,2.424
,,1653685.0,0.138,2.422
,,1653880.0,0.118,2.422
,,16541654137.0,0.092,2.418
,,1654529.0,0.05,2.414
,,1654785.0,0.024,2.41
