index,0,time (ms),Voltage (V),Current (mA)
scanrate (mV/s),160.0,,,
scan low (V),-1.0,,,
scan high (V),1.0,,,
num scan,1.0,,,
,,553264.0,0.018,2.41
,,553331.0,0.026,2.412
,,553398.0,0.032,2.41
,,553465.0,0.04,2.412
,,553656.0,0.062,2.414
,,553722.0,0.07,2.414
,,553790.0,0.076,2.414
,,55553913.0,0.09,2.414
,,553979.0,0.098,2.414
,,554047.0,0.106,2.414
,,554237.0,0.128,2.416
,,554304.0,0.134,2.416
,,554372.0,0.142,2.416
,,554494.0,0.156,2.416
,,554562.0,0.164,2.416
,,554629.0,0.172,2.416
,,554696554752.0,0.186,2.418
,,554819.0,0.192,2.418
,,554886.0,0.2,2.418
,,554953.0,0.208,2.418
,,555076.0,0.22,2.418
,,555144.0,0.228,2.418
,,555211.0,0.236,2.42
,,555278.0,0.242,2.42
,,555345.0,0.25,2.42
,,5555469.0,0.264,2.42
,,555536.0,0.272,2.42
,,555603.0,0.28,2.42
,,555555726.0,0.294,2.422
,,555794.0,0.3,2.422
,,555862.0,0.308,2.422
,,555928.0,0.316,2.422
,,556052.0,0.328,2.422
,,556119.0,0.336,2.422
,,556186.0,0.344,2.424
,,556254.0,0.35,2.424
,,556377.0,0.364,2.424
,,556444.0,0.372,2.428
,,556511.0,0.378,2.424
,,556635.0,0.392,2.426
,,556701.0,0.4,2.426
,,556769.0,0.408,2.426
,,556836.0,0.416,2.426
,,556959.0,0.43,2.426
,,557027.0,0.436,2.428
,,557093.0,0.444,2.426
,,557557217.0,0.458,2.428
,,557284.0,0.466,2.428
,,557351.0,0.474,2.428
,,55741557474.0,0.488,2.432
,,557542.0,0.494,2.43
,,557609.0,0.502,2.43
,,557676.0,0.51,2.43
,,557744.0,0.516,2.43
,,557867.0,0.53,2.43
,,557934.0,0.538,2.432
,,558002.0,0.546,2.432
,,558068.0,0.552,2.432
,,558192.0,0.566,2.434
,,558259.0,0.574,2.434
,,558326.0,0.582,2.434
,,558450.0,0.596,2.436
,,558517.0,0.604,2.438
,,558584.0,0.612,2.438
,,55558707.0,0.626,2.438
,,558775.0,0.634,2.438
,,558842.0,0.642,2.44
