index,0,time (ms),Voltage (V),Current (mA)
scanrate (mV/s),170.0,,,
scan low (V),-1.0,,,
scan high (V),1.0,,,
num scan,1.0,,,
,,448448696.0,0.05,2.486
,,448830.0,0.064,2.48
,,449086.0,0.09,2.488
,,449476.0,0.132,2.488
,,44449732.0,0.158,2.488
,,449866.0,0.172,2.484
,,450122.0,0.198,2.488
,,45025450318.0,0.218,2.488
,,450512.0,0.238,2.486
,,450769.0,0.264,2.488
,,4509450964.0,0.284,2.49
,,451160.0,0.304,2.486
,,451355.0,0.324,2.49
,,451551.0,0.342,2.49
,,451941.0,0.382,2.49
,,452197.0,0.408,2.49
,,452392.0,0.428,2.49
,,452588.0,0.448,2.49
,,452844.0,0.476,2.49
,,453235.0,0.516,2.492
,,453491.0,0.542,2.492
,,453881.0,0.582,2.492
,,454138.0,0.61,2.492
,,454529.0,0.65,2.494
,,454724.0,0.67,2.492
,,455114.0,0.708,2.492
,,455371.0,0.734,2.494
,,455761.0,0.774,2.494
,,456018.0,0.8,2.496
,,4561456213.0,0.82,2.496
,,456347.0,0.834,2.494
,,456604.0,0.86,2.496
,,456456860.0,0.886,2.496
,,456994.0,0.9,2.496
,,457190.0,0.92,2.496
,,457446.0,0.946,2.496
,,457837.0,0.986,2.498
,,458032.0,1.006,2.498
,,458423.0,1.044,2.498
,,458679.0,1.07,2.498
,,459070.0,1.112,2.498
,,459326.0,1.136,2.498
,,459716.0,1.176,2.5
,,459973.0,1.202,2.498
,,460363.0,1.244,2.5
,,460620.0,1.272,2.5
,,460460815.0,1.292,2.5
,,461010.0,1.312,2.504
,,461206.0,1.33,2.502
,,461461462.0,1.356,2.504
,,461658.0,1.376,2.508
,,461853.0,1.396,2.508
,,46462109.0,1.424,2.512
,,462305.0,1.444,2.518
,,462561.0,1.468,2.522
,,4462756.0,1.488,2.528
,,462951.0,1.508,2.54
,,463147.0,1.528,2.546
,,463403.0,1.556,2.56
,,463598.0,1.576,2.574
,,463855.0,1.602,2.586
,,464050.0,1.622,2.6
,,464441.0,1.66,2.626
,,464697.0,1.686,2.642
,,465027.0,1.72,2.662
,,465283.0,1.746,2.674
,,465674.0,1.786,2.682
,,465930.0,1.81,2.678
,,466320.0,1.852,2.662
,,466577.0,1.878,2.644
,,466711466771.0,1.898,2.632
,,466967.0,1.92,2.618
,,467224.0,1.944,2.6
,,467358467419.0,1.964,2.588
,,467614.0,1.984,2.584
,,467810.0,2.004,2.576
,,468067.0,2.03,2.57
,,468458.0,2.014,2.55
,,468714.0,1.988,2.54
,,46468910468971.0,1.964,2.532
,,469105.0,1.95,2.538
,,469361.0,1.924,2.526
,,46469557.0,1.904,2.526
,,469751.0,1.884,2.528
,,470008.0,1.856,2.52
,,4470203.0,1.836,2.518
,,470398.0,1.816,2.522
,,470654.0,1.79,2.514
,,4470850.0,1.77,2.512
,,471046.0,1.75,2.518
,,471302.0,1.724,2.508
,,447149471558.0,1.698,2.508
,,471693.0,1.684,2.512
,,471949.0,1.658,2.504
,,447214472205.0,1.634,2.504
,,472339.0,1.62,2.506
,,472596.0,1.594,2.502
,,447279472852.0,1.568,2.5
,,472986.0,1.554,2.502
,,473182.0,1.534,2.498
,,473438.0,1.508,2.498
,,473633.0,1.488,2.498
,,473829.0,1.468,2.496
,,474085.0,1.442,2.494
,,474475.0,1.402,2.492
,,474732.0,1.376,2.492
,,474927.0,1.356,2.494
,,475122.0,1.336,2.492
,,475378.0,1.31,2.492
,,475574.0,1.29,2.494
,,475830.0,1.264,2.49
,,476476087.0,1.236,2.49
,,476221.0,1.222,2.49
,,476477.0,1.194,2.49
,,476476733.0,1.168,2.49
,,476868.0,1.156,2.49
,,477124.0,1.13,2.49
,,47477380.0,1.104,2.49
,,477514.0,1.09,2.49
,,477771.0,1.064,2.49
,,477966.0,1.044,2.49
,,478161.0,1.024,2.488
,,478357.0,1.004,2.488
,,478613.0,0.978,2.488
,,478809.0,0.958,2.488
,,479004.0,0.938,2.488
,,479260.0,0.912,2.486
,,479650.0,0.872,2.486
,,479907.0,0.846,2.484
,,480297.0,0.806,2.482
,,480553.0,0.78,2.48
,,480945.0,0.74,2.48
,,481201.0,0.714,2.48
,,481591.0,0.676,2.48
,,481848.0,0.65,2.48
,,482238.0,0.61,2.482
,,482434.0,0.588,2.48
,,482885.0,0.542,2.48
,,483141.0,0.516,2.48
,,483532.0,0.476,2.482
,,483727.0,0.456,2.484
,,483862483922.0,0.436,2.482
,,484118.0,0.414,2.48
,,484374.0,0.388,2.48
,,484899.0,0.336,2.482
,,4485155.0,0.31,2.482
,,485545.0,0.27,2.48
,,485741.0,0.25,2.486
,,486193.0,0.204,2.48
,,48486449.0,0.178,2.48
,,486583.0,0.164,2.474
,,486839.0,0.138,2.478
,,487229.0,0.098,2.476
,,487487485.0,0.07,2.476
,,487619.0,0.056,2.468
,,487875.0,0.03,2.474
,,488070.0,0.01,2.468
